
ORIGIN,Description,Avg(DEP_DELAY_NEW)
"SYR","Syracuse, NY: Syracuse Hancock International",16.3595
"TLH","Tallahassee, FL: Tallahassee International",12.1302
"TOL","Toledo, OH: Toledo Express",16.6114
"TPA","Tampa, FL: Tampa International",14.9647
"TRI","Bristol/Johnson City/Kingsport, TN: Tri Cities",14.9167
"TTN","Trenton, NJ: Trenton Mercer",32.0256
"TUL","Tulsa, OK: Tulsa International",12.1206
"TUS","Tucson, AZ: Tucson International",11.1313
"TVC","Traverse City, MI: Cherry Capital",17.9988
"TWF","Twin Falls, ID: Joslin Field - Magic Valley Regional",7.4560
"TXK","Texarkana, AR: Texarkana Regional-Webb Field",11.4676
"TYR","Tyler, TX: Tyler Pounds Regional",12.3758
"TYS","Knoxville, TN: McGhee Tyson",16.8173
"UIN","Quincy, IL: Quincy Regional-Baldwin Field",21.4686
"USA","CONCORD, NC: CONCORD REGIONAL",22.6272
"VEL","Vernal, UT: Vernal Regional",5.6754
"VLD","Valdosta, GA: Valdosta Regional",13.2160
"VPS","Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",12.0775
"WRG","Wrangell, AK: Wrangell Airport",5.2359
"WYS","West Yellowstone, MT: Yellowstone",4.6363
"XNA","Fayetteville, AR: Northwest Arkansas Regional",16.4445
"YAK","Yakutat, AK: Yakutat Airport",5.3933
"YNG","Youngstown/Warren, OH: Youngstown-Warren Regional",63.0000
"YUM","Yuma, AZ: Yuma MCAS/Yuma International",4.0924
"All Rows","All Rows (including those not displayed)",13.9973
