
DEST,Description,Avg(ARR_DELAY)
"SCC","Deadhorse, AK: Deadhorse Airport",-4.7829
"SCE","State College, PA: University Park",5.4879
"SCK","Stockton, CA: Stockton Metropolitan",17.4262
"SDF","Louisville, KY: Louisville International-Standiford Field",7.0449
"SEA","Seattle, WA: Seattle/Tacoma International",1.7274
"SFB","Sanford, FL: Orlando Sanford International",21.1102
"SFO","San Francisco, CA: San Francisco International",10.6308
"SGF","Springfield, MO: Springfield-Branson National",6.0228
"SGU","St. George, UT: St George Regional",2.2801
"SHD","Staunton, VA: Shenandoah Valley Regional",15.7461
"SHV","Shreveport, LA: Shreveport Regional",4.7709
"SIT","Sitka, AK: Sitka Rocky Gutierrez",-1.2463
"SJC","San Jose, CA: Norman Y. Mineta San Jose International",3.3274
"SJT","San Angelo, TX: San Angelo Regional/Mathis Field",1.6089
"SJU","San Juan, PR: Luis Munoz Marin International",12.6597
"SLC","Salt Lake City, UT: Salt Lake City International",1.8491
"SLN","Salina, KS: Salina Regional",23.7252
"SMF","Sacramento, CA: Sacramento International",4.5011
"SMX","Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",3.8952
"SNA","Santa Ana, CA: John Wayne Airport-Orange County",2.2278
"SPI","Springfield, IL: Abraham Lincoln Capital",8.9056
"SPN","Saipan, TT: Francisco C. Ada Saipan International",8.6200
"SPS","Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",2.3245
"SRQ","Sarasota/Bradenton, FL: Sarasota/Bradenton International",2.7897
"STC","St. Cloud, MN: St. Cloud Regional",-0.0520
"STL","St. Louis, MO: St Louis Lambert International",3.8006
"STS","Santa Rosa, CA: Charles M. Schulz - Sonoma County",3.0778
"STT","Charlotte Amalie, VI: Cyril E King",6.8284
"STX","Christiansted, VI: Henry E. Rohlsen",8.6315
"SUN","Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",0.3767
"SUX","Sioux City, IA: Sioux Gateway/Col. Bud Day Field",11.6863
"SWF","Newburgh/Poughkeepsie, NY: Stewart International",14.9593
"SWO","Stillwater, OK: Stillwater Regional",5.4534
"SYR","Syracuse, NY: Syracuse Hancock International",8.1784
"TLH","Tallahassee, FL: Tallahassee International",6.0060
"TOL","Toledo, OH: Toledo Express",10.8875
"TPA","Tampa, FL: Tampa International",6.4408
"TRI","Bristol/Johnson City/Kingsport, TN: Tri Cities",9.0118
"TTN","Trenton, NJ: Trenton Mercer",18.4444
"TUL","Tulsa, OK: Tulsa International",7.0766
"TUS","Tucson, AZ: Tucson International",6.8018
"TVC","Traverse City, MI: Cherry Capital",6.4962
"TWF","Twin Falls, ID: Joslin Field - Magic Valley Regional",-0.5963
"TXK","Texarkana, AR: Texarkana Regional-Webb Field",1.3613
"TYR","Tyler, TX: Tyler Pounds Regional",6.3265
"TYS","Knoxville, TN: McGhee Tyson",10.0285
"UIN","Quincy, IL: Quincy Regional-Baldwin Field",13.5563
"USA","CONCORD, NC: CONCORD REGIONAL",11.8902
"VEL","Vernal, UT: Vernal Regional",0.8771
"VLD","Valdosta, GA: Valdosta Regional",5.7121
"VPS","Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",5.8688
"WRG","Wrangell, AK: Wrangell Airport",-1.8291
"WYS","West Yellowstone, MT: Yellowstone",5.4108
"XNA","Fayetteville, AR: Northwest Arkansas Regional",6.2512
"YAK","Yakutat, AK: Yakutat Airport",-2.5407
"YNG","Youngstown/Warren, OH: Youngstown-Warren Regional",59.5000
"YUM","Yuma, AZ: Yuma MCAS/Yuma International",-1.5855
"All Rows","All Rows (including those not displayed)",5.7986
