
ORIGIN,Description,Sum(FLIGHTS)
"SJC","San Jose, CA: Norman Y. Mineta San Jose International",35765
"SJT","San Angelo, TX: San Angelo Regional/Mathis Field",960
"SJU","San Juan, PR: Luis Munoz Marin International",17176
"SLC","Salt Lake City, UT: Salt Lake City International",76031
"SLN","Salina, KS: Salina Regional",372
"SMF","Sacramento, CA: Sacramento International",30894
"SMX","Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",105
"SNA","Santa Ana, CA: John Wayne Airport-Orange County",27751
"SPI","Springfield, IL: Abraham Lincoln Capital",1203
"SPN","Saipan, TT: Francisco C. Ada Saipan International",101
"SPS","Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",717
"SRQ","Sarasota/Bradenton, FL: Sarasota/Bradenton International",4156
"STC","St. Cloud, MN: St. Cloud Regional",99
"STL","St. Louis, MO: St Louis Lambert International",44124
"STS","Santa Rosa, CA: Charles M. Schulz - Sonoma County",1061
"STT","Charlotte Amalie, VI: Cyril E King",1588
"STX","Christiansted, VI: Henry E. Rohlsen",823
"SUN","Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",881
"SUX","Sioux City, IA: Sioux Gateway/Col. Bud Day Field",721
"SWF","Newburgh/Poughkeepsie, NY: Stewart International",1193
"SWO","Stillwater, OK: Stillwater Regional",508
"SYR","Syracuse, NY: Syracuse Hancock International",9164
"TLH","Tallahassee, FL: Tallahassee International",4064
"TOL","Toledo, OH: Toledo Express",1426
"TPA","Tampa, FL: Tampa International",50526
"TRI","Bristol/Johnson City/Kingsport, TN: Tri Cities",2350
"TTN","Trenton, NJ: Trenton Mercer",1696
"TUL","Tulsa, OK: Tulsa International",11420
"TUS","Tucson, AZ: Tucson International",12122
"TVC","Traverse City, MI: Cherry Capital",2733
"TWF","Twin Falls, ID: Joslin Field - Magic Valley Regional",891
"TXK","Texarkana, AR: Texarkana Regional-Webb Field",793
"TYR","Tyler, TX: Tyler Pounds Regional",917
"TYS","Knoxville, TN: McGhee Tyson",10498
"UIN","Quincy, IL: Quincy Regional-Baldwin Field",624
"USA","CONCORD, NC: CONCORD REGIONAL",678
"VEL","Vernal, UT: Vernal Regional",115
"VLD","Valdosta, GA: Valdosta Regional",691
"VPS","Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",5332
"WRG","Wrangell, AK: Wrangell Airport",486
"WYS","West Yellowstone, MT: Yellowstone",187
"XNA","Fayetteville, AR: Northwest Arkansas Regional",8465
"YAK","Yakutat, AK: Yakutat Airport",484
"YNG","Youngstown/Warren, OH: Youngstown-Warren Regional",2
"YUM","Yuma, AZ: Yuma MCAS/Yuma International",941
"All Rows","All Rows (including those not displayed)",4831576
